Unnamed: 0,book_id,book_name,author_name,num_tokens
145,12884,"Reed Anthony, Cowman: An Autobiography",Andy Adams,122085
146,20717,The Girl on the Boat,P. G. Wodehouse,99724
147,64,The Gods of Mars,Edgar Rice Burroughs,111173
148,2181,"The Marble Faun; Or, The Romance of Monte Beni - Volume 1",Nathaniel Hawthorne,90714
149,175,The Phantom of the Opera,Gaston Leroux,123208
150,6955,The Prince and Betty,P. G. Wodehouse,98240
151,13944,"After London; Or, Wild England",Richard Jefferies,113904
152,58820,Whose Body? A Lord Peter Wimsey Novel,Dorothy L. Sayers,89011
153,41229,"Guy Deverell, v. 2 of 2",Joseph Sheridan Le Fanu,103712
155,29255,Astounding Stories of Super-Science September 1930,Various,114083
156,5829,The Moneychangers,Upton Sinclair,91929
157,2771,The Island Pharisees,John Galsworthy,102273
158,22743,"Ruth Fielding and the Gypsies; Or, The Missing Pearl Necklace",Alice B. Emerson,65287
159,59478,The Adventures of Dr. Thorndyke,R. Austin Freeman,100267
160,48818,Marianela,Benito Pérez Galdós,87217
161,3942,The Confession of a Child of the Century — Complete,Alfred de Musset,113218
162,72883,The Layton Court mystery,Anthony Berkeley,106224
163,171,Charlotte Temple,Mrs. Rowson,54143
164,2727,Allan's Wife,H. Rider Haggard,71642
165,29088,Polly of Lady Gay Cottage,Emma C. Dowd,65043
166,40814,Ruth Hall: A Domestic Tale of the Present Time,Fanny Fern,115860
167,20869,The Skylark of Space,E. E. Smith and Lee Hawkins Garby,120374
168,2772,The Country House,John Galsworthy,112655
169,40464,The Mystery of Lincoln's Inn,Robert Machray,121654
170,17314,Five Children and It,E. Nesbit,78711
171,32256,The Big Time,Fritz Leiber,58074
172,55806,Ozoplaning with the Wizard of Oz,Ruth Plumly Thompson,57782
173,2233,A Damsel in Distress,P. G. Wodehouse,110164
174,1183,The Return of Dr. Fu-Manchu,Sax Rohmer,105041
175,27188,The Wonder,J. D. Beresford,87619
176,45413,The North Pacific: A Story of the Russo-Japanese War,Willis Boyd Allen,102164
177,1872,The Red House Mystery,A. A. Milne,87263
178,47430,"Fanny Campbell, The Female Pirate Captain: A Tale of The Revolution",Ballou,68545
179,74807,"Queenie's whim, Volume 3 (of 3) :  A novel",Rosa Nouchette Carey,84627
180,2722,Morning Star,H. Rider Haggard,117502
181,17157,Gulliver's Travels into Several Remote Regions of the World,Jonathan Swift,74022
182,1155,The Secret Adversary,Agatha Christie,112329
183,38922,Pine Needles,Susan Warner and Louis Harms,115808
184,74645,Bessie at school,Joanna H. Mathews,84572
185,179,The Europeans,Henry James,86450
187,40361,The Air Pirate,Guy Thorne,92684
188,21894,"The Rover Boys at Colby Hall; or, The Struggles of the Young Cadets",Stratemeyer,88522
189,15580,The Rustlers of Pecos County,Zane Grey,102214
190,22827,Patchwork: A Story of 'The Plain People',Anna Balmer Myers,113847
191,54900,The Return of the O'Mahony: A Novel,Harold Frederic,121768
192,74754,"Elizabeth, Betsy, and Bess—schoolmates",Amy Ella Blanchard,82781
193,41797,The Story Book Girls,Christina Gowans Whyte,122756
194,21882,The House of Torchy,Sewell Ford,98759
195,1718,Manalive,G. K. Chesterton,82699
196,1158,Penrod and Sam,Booth Tarkington,99509
197,544,Anne's House of Dreams,L. M. Montgomery,117183
198,9611,"Joseph Andrews, Vol. 1",Henry Fielding,91262
199,2225,"""Captains Courageous"": A Story of the Grand Banks",Rudyard Kipling,81908
200,24880,The Wreck of the Titan,Morgan Robertson,103012
201,550,Silas Marner,George Eliot,102084
202,7031,The Sheik: A Novel,E. M. Hull,118970
204,33392,In and Out,Edgar Franklin,80327
205,402,Penrod,Booth Tarkington,88396
206,53154,Cameron of Lochiel,Philippe Aubert de Gaspé,124027
207,15099,The Hoosier Schoolmaster: A Story of Backwoods Life in Indiana,Edward Eggleston,84468
208,38551,The Crux: A Novel,Charlotte Perkins Gilman,79031
209,18857,A Journey to the Centre of the Earth,Jules Verne,119402
210,942,Green Mansions: A Romance of the Tropical Forest,W. H. Hudson,120894
211,1153,The Chessmen of Mars,Edgar Rice Burroughs,121915
212,22571,Frank Merriwell's Bravery,Burt L. Standish,114203
213,70634,The Benson murder case,S. S. Van Dine,124080
214,2641,A Room with a View,E. M. Forster,97720
215,36961,The Girl From His Town,Marie Van Vorst,74988
216,2688,The Clue of the Twisted Candle,Edgar Wallace,80794
217,19763,Overland Red: A Romance of the Moonstone Cañon Trail,Henry Herbert Knibbs,108545
218,20420,Real Ghost Stories,W. T. Stead,90262
219,21854,The Woman in Black,E. C. Bentley,95805
220,836,The Phoenix and the Carpet,E. Nesbit,88957
221,40386,Wandering Ghosts,F. Marion Crawford,91778
222,16344,"The Waif of the ""Cynthia""",Jules Verne and André Laurie,97642
223,29512,Olive in Italy,Moray Dalton,93123
224,25847,Patty's Friends,Carolyn Wells,74456
225,10886,The Untamed,Max Brand,102746
226,41879,"Dick Merriwell's Pranks; Or, Lively Times in the Orient",Burt L. Standish,106960
227,3777,"Tom Swift and His Electric Rifle; Or, Daring Adventures in Elephant Land",unknown,59833
228,2372,The Woman-Haters,Joseph Crosby Lincoln,96849
229,25390,Tabitha at Ivy Hall,Ruth Brown MacArthur,80486
230,102,The Tragedy of Pudd'nhead Wilson,Mark Twain,77738
231,11660,Ethel Morton's Enterprise,Mabell S. C. Smith,79074
232,74522,My Hildegarde :  A strange story of adventure in the land of revolutions,unknown,104268
233,2607,"Psmith, Journalist",P. G. Wodehouse,84980
234,1028,The Professor,Charlotte Brontë,126760
235,241,"Clotelle; Or, The Colored Heroine, a tale of the Southern States; Or, The…",unknown,64798
236,11875,The Blood Red Dawn,Charles Caldwell Dobie,54021
237,26034,Grey Town :  an Australian story,Gerald R. Baldwin,87808
238,316,The Golden Road,L. M. Montgomery,107744
239,36715,Yekl: A Tale of the New York Ghetto,Abraham Cahan,56082
240,37215,The Argus Pheasant,John Charles Beecham,106183
241,21632,"Fame and Fortune; or, The Progress of Richard Hunter",Jr. Horatio Alger,65975
242,15238,Mathilda,Mary Wollstonecraft Shelley,67874
243,2662,"Under the Greenwood Tree; Or, The Mellstock Quire",Thomas Hardy,85792
244,25465,Skippy Bedelle,Owen Johnson,94312
245,8873,The Isle of Unrest,Henry Seton Merriman,106467
246,43702,The Adventures of a Modest Man,Robert W. Chambers,94449
247,46059,The Adopting of Rosa Marie,Carroll Watson Rankin,66826
248,36346,The Mandarin's Fan,Fergus Hume,111907
249,20627,"Torchy, Private Sec.",Sewell Ford,112596
250,26599,A Black Adonis,Linn Boyd Porter,111159
251,2868,The Green Mummy,Fergus Hume,124956
252,3808,Robur the Conqueror,Jules Verne,74882
253,35217,The Oyster,Peer,119696
254,37172,"In a Glass Darkly, v. 1/3",Joseph Sheridan Le Fanu,58785
